#latitude	longitude	dummy
47.76932991	-123.0269623	0
47.7688684	-122.9191589	0
47.76332999	-124.1262817	0
47.760958	-118.713144	0
47.75963738	-124.0246582	0
47.75917579	-121.2760162	0
47.75594451	-121.4154053	0
47.74301741	-116.426239	0
47.74070866	-116.0128784	0
47.7288	-120.1053	0
47.7283	-120.7233	0
47.726	-120.722	0
47.7226969	-124.203186	0
47.715763	-116.912963	0
47.712598	-116.786369	0
47.71160965	-122.9040527	0
47.710848	-116.996503	0
47.707	-90.666	0
47.705659	-116.786597	0
47.702469	-93.564758	0
47.70236847	-120.732193	0
47.700717	-114.183991	0
47.70052003	-115.6723022	0
47.693463	-122.902461	0
47.686774	-114.105095	0
47.683778	-117.154503	0
47.682533	-116.804093	0
47.67579094	-123.0310822	0
47.674198	-93.027357	0
47.672252	-93.029356	0
47.671165	-116.752878	0
47.6684	-96.181	0
47.6655	-96.014	0
47.6655	-96.014	0
47.6614	-94.6848	0
47.6587	-116.767	0
47.657161	-117.406622	0
47.65711	-117.345515	0
47.657063	-117.339966	0
47.649	-117.43	0
47.64827	-122.5365	0
47.6454	-101.5012	0
47.64503657	-115.1641846	0
47.63208194	-116.2902832	0
47.61676	-115.38696	0
47.6149584	-116.6583252	0
47.61356975	-115.2108765	0
47.61273	-124.37526	0
47.61264397	-120.916214	0
47.61171817	-120.8654022	0
47.611153	-119.291626	0
47.60616304	-120.9072876	0
47.60577	-122.329437	0
